"Gravelly"|"82282577"|"22347998"
"Very gravelly"|"82282582"|"22348002"
"Very gravelly"|"82282585"|"22348005"
"Gravelly"|"82282589"|"22348007"
"Gravelly"|"82282592"|"22348009"
"Channery"|"82282593"|"22348010"
"Very channery"|"82282595"|"22348012"
"Gravelly"|"82282599"|"22348015"
"Very channery"|"82282602"|"22348018"
"Channery"|"82282608"|"22348019"
"Very channery"|"82282611"|"22348022"
"Gravelly"|"82282613"|"22348023"
"Gravelly"|"82282616"|"22348026"
"Gravelly"|"82282618"|"22348028"
"Gravelly"|"82282620"|"22348029"
"Gravelly"|"82282623"|"22348031"
"Gravelly"|"82282628"|"22348033"
"Gravelly"|"82282631"|"22348035"
"Channery"|"82282635"|"22348038"
"Very channery"|"82282636"|"22348039"
"Gravelly"|"82282641"|"22348042"
"Gravelly"|"82282642"|"22348043"
"Very channery"|"82282648"|"22348046"
"Gravelly"|"82282651"|"22348049"
"Channery"|"82282653"|"22348051"
"Extremely channery"|"82282658"|"22348055"
"Channery"|"82282667"|"22348056"
"Channery"|"82282670"|"22348057"
"Gravelly"|"82282678"|"22348058"
"Gravelly"|"82282681"|"22348059"
"Gravelly"|"82282690"|"22348060"
"Gravelly"|"82282692"|"22348061"
"Gravelly"|"82282697"|"22348063"
"Gravelly"|"82282700"|"22348064"
"Gravelly"|"82282704"|"22348065"
"Gravelly"|"82282707"|"22348067"
"Gravelly"|"82282711"|"22348068"
"Gravelly"|"82282714"|"22348070"
"Gravelly"|"82282719"|"22348071"
"Gravelly"|"82282722"|"22348072"
"Channery"|"82282725"|"22348073"
"Gravelly"|"82282730"|"22348074"
"Gravelly"|"82282733"|"22348075"
"Gravelly"|"82282738"|"22348076"
"Gravelly"|"82282741"|"22348077"
"Gravelly"|"82282746"|"22348078"
"Gravelly"|"82282749"|"22348080"
"Channery"|"82282753"|"22348081"
"Gravelly"|"82282758"|"22348082"
"Gravelly"|"82282761"|"22348084"
"Very gravelly"|"82282766"|"22348085"
"Extremely gravelly"|"82282769"|"22348088"
"Extremely gravelly"|"82282772"|"22348091"
"Gravelly"|"82282775"|"22348092"
"Gravelly"|"82282778"|"22348093"
"Gravelly"|"82282788"|"22348094"
"Gravelly"|"82282791"|"22348096"
"Gravelly"|"82282795"|"22348097"
"Gravelly"|"82282798"|"22348099"
"Very channery"|"82282802"|"22348101"
"Gravelly"|"82282806"|"22348104"
"Very channery"|"82282809"|"22348107"
"Gravelly"|"82282822"|"22348108"
"Gravelly"|"82282825"|"22348110"
"Gravelly"|"82282830"|"22348111"
"Gravelly"|"82282833"|"22348112"
"Gravelly"|"82282836"|"22348113"
"Gravelly"|"82282839"|"22348115"
"Channery"|"82282844"|"22348118"
"Very channery"|"82282847"|"22348121"
"Very gravelly"|"82282851"|"22348122"
"Extremely gravelly"|"82282854"|"22348125"
"Extremely gravelly"|"82282857"|"22348128"
"Channery"|"82282860"|"22348129"
"Channery"|"82282863"|"22348130"
"Gravelly"|"82282869"|"22348133"
"Gravelly"|"82282871"|"22348135"
"Very gravelly"|"82282879"|"22348136"
"Extremely gravelly"|"82282882"|"22348139"
"Extremely gravelly"|"82282885"|"22348142"
"Channery"|"82282888"|"22348143"
"Channery"|"82282891"|"22348144"
