0|15|30|183|183|183|"Wet"|"148909362"|"92019039"
30||46|183|183|183||"148902828"|"92013517"
0|0|0|15|23|30||"148902828"|"92013518"
15|23|30|30||46|"Wet"|"148902828"|"92013519"
46||76|183|183|183||"148905932"|"92016311"
0|0|0|30|46|61||"148905932"|"92016312"
30|46|61|46||76|"Wet"|"148905932"|"92016313"
61||107|183|183|183||"148911405"|"92020934"
0|0|0|46|69|91||"148911405"|"92020935"
46|69|91|61||107|"Wet"|"148911405"|"92020936"
0|0|0|46|61|76||"148906276"|"92016497"
46|61|76|183|183|183|"Wet"|"148906276"|"92016498"
61||91|183|183|183||"148907344"|"92017438"
0|0|0|46|61|76||"148907344"|"92017439"
46|61|76|61||91|"Wet"|"148907344"|"92017440"
0|0|0|183|183|183|"Wet"|"148913084"|"92022450"
30||46|183|183|183||"148908246"|"92018232"
0|0|0|15|23|30||"148908246"|"92018233"
15|23|30|30||46|"Wet"|"148908246"|"92018234"
46||76|183|183|183||"148910024"|"92019475"
0|0|0|30|46|61||"148910024"|"92019476"
30|46|61|46||76|"Wet"|"148910024"|"92019477"
0|0|0|183|183|183|"Wet"|"148908262"|"92018255"
30||46|183|183|183||"148906352"|"92016591"
0|0|0|15|23|30||"148906352"|"92016592"
15|23|30|30||46|"Wet"|"148906352"|"92016593"
0|0|0|46|69|91||"149033943"|"92046793"
46|69|91|183|183|183|"Wet"|"149033943"|"92046794"
30||61|183|183|183||"148912822"|"92022181"
0|0|0|15|31|46||"148912822"|"92022182"
15|31|46|30||61|"Wet"|"148912822"|"92022183"
30||46|183|183|183||"148905202"|"92015623"
0|0|0|15|23|30||"148905202"|"92015624"
15|23|30|30||46|"Wet"|"148905202"|"92015625"
0|0|0|30|46|61||"148902931"|"92013650"
30|46|61|183|183|183|"Wet"|"148902931"|"92013651"
30||46|183|183|183||"148908320"|"92018298"
0|0|0|15|23|30||"148908320"|"92018299"
15|23|30|30||46|"Wet"|"148908320"|"92018300"
0|0|0|183|183|183|"Wet"|"148913510"|"92022825"
46||76|183|183|183||"148906893"|"92017040"
0|0|0|30|46|61||"148906893"|"92017041"
30|46|61|46||76|"Wet"|"148906893"|"92017042"
30||61|183|183|183||"148902700"|"92013362"
0|0|0|15|31|46||"148902700"|"92013363"
15|31|46|30||61|"Wet"|"148902700"|"92013364"
0|0|0|0|23|46||"148904047"|"92014692"
0|23|46|183|183|183|"Wet"|"148904047"|"92014693"
46||76|183|183|183||"148910019"|"92019466"
