"Loamy sand"||"80860597"|"82286573"
"Clay"||"80861483"|"82287463"
"Sandy loam"||"80856751"|"82282714"
"Coarse sand"||"80856292"|"82282253"
"Loamy sand"||"80924064"|"82351399"
"Sandy loam"||"80860254"|"82286229"
"Silt loam"||"80855250"|"82281210"
"Silt loam"||"80855437"|"82281397"
"Sandy loam"||"80856946"|"82282910"
"Silt loam"||"80858856"|"82284825"
"Sand"||"80920886"|"82348166"
"Very fine sandy loam"||"80859367"|"82285341"
"Sandy loam"||"80857421"|"82283389"
"Silt loam"||"80859526"|"82285500"
"Silt loam"||"80861267"|"82287246"
"Silt loam"||"80858576"|"82284545"
"Silt loam"||"80860196"|"82286171"
"Loamy sand"||"80856011"|"82281971"
"Loam"||"80859341"|"82285315"
"Clay loam"||"80855364"|"82281324"
"Silt loam"||"80860291"|"82286267"
"Loam"||"80856534"|"82282495"
"Silt loam"||"80857136"|"82283100"
|"Peat"|"80861860"|"82287840"
"Sandy loam"||"80860502"|"82286478"
"Very fine sand"||"80856052"|"82282012"
"Loam"||"80857785"|"82283753"
"Silt loam"||"80855953"|"82281913"
"Fine sandy loam"||"80857922"|"82283891"
"Silt loam"||"80858273"|"82284242"
|"Unweathered bedrock"|"80923694"|"82351029"
|"Muck"|"80861238"|"82287217"
"Loam"||"80855279"|"82281239"
"Loamy sand"||"80922623"|"82349946"
"Loam"||"80858360"|"82284329"
"Loam"||"80860743"|"82286719"
"Loam"||"80855754"|"82281714"
"Silt loam"||"80855469"|"82281429"
"Fine sandy loam"||"80860829"|"82286806"
"Silt loam"||"80856471"|"82282432"
"Silt loam"||"80858116"|"82284085"
"Silt loam"||"80859707"|"82285681"
"Loamy sand"||"80861130"|"82287108"
"Fine sandy loam"||"80858794"|"82284763"
"Fine sand"||"80860984"|"82286961"
"Silt loam"||"80855669"|"82281629"
"Silt loam"||"80858149"|"82284118"
"Silt loam"||"80855826"|"82281786"
"Loam"||"80856714"|"82282677"
"Loam"||"80860973"|"82286950"
"Very fine sandy loam"||"80861504"|"82287484"
|"Peat"|"80856271"|"82282232"
"Loamy sand"||"80924029"|"82351364"
"Fine sandy loam"||"80860498"|"82286474"
"Very fine sandy loam"||"80861330"|"82287309"
"Silt loam"||"80857189"|"82283153"
"Loam"||"80857690"|"82283658"
"Silty clay loam"||"80857231"|"82283195"
"Fine sandy loam"||"80856972"|"82282936"
"Loamy sand"||"80855583"|"82281543"
"Very fine sand"||"80922866"|"82350195"
"Silt loam"||"80859552"|"82285526"
"Fine sandy loam"||"80859014"|"82284983"
"Sand"||"80859245"|"82285215"
"Loamy sand"||"80859245"|"82285216"
"Sand"||"80855584"|"82281544"
"Silt loam"||"80861779"|"82287759"
"Loam"||"80858687"|"82284656"
"Silty clay"||"80856344"|"82282305"
"Loamy sand"||"80859096"|"82285065"
"Silt loam"||"80855730"|"82281690"
|"Mucky peat"|"80860259"|"82286234"
"Silty clay loam"||"80858336"|"82284305"
"Silty clay loam"||"80855974"|"82281934"
|"Unweathered bedrock"|"80859489"|"82285463"
"Coarse sandy loam"||"80923990"|"82351325"
"Sandy loam"||"80858054"|"82284023"
"Fine sandy loam"||"80857748"|"82283716"
"Sandy loam"||"80855627"|"82281587"
"Silt loam"||"80856954"|"82282918"
"Sandy loam"||"80860373"|"82286349"
"Sandy loam"||"80923977"|"82351312"
